"","date","reef","ColumnID","sp.gen","tl"
"1","6/22/18","H3","AcanthuridaeAcanthuruscoeruleus","Acanthurus coeruleus",15
"2","6/22/18","H3","AcanthuridaeAcanthuruscoeruleus","Acanthurus coeruleus",6
"3","6/22/18","H3","AcanthuridaeAcanthuruscoeruleus","Acanthurus coeruleus",9
"4","6/22/18","H3","ChaetodontidaeChaetodoncapistratus","Chaetodon capistratus",6
"5","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"6","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"7","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"8","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"9","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"10","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"11","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"12","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"13","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"14","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"15","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"16","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"17","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"19","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"20","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"21","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"22","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"23","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"24","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"25","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"26","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"27","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"28","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"29","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"30","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"31","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"32","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"33","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"34","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"35","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"36","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"37","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"38","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"39","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"40","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"41","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"42","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"43","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"44","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"45","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"46","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"47","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"48","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"49","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"50","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"51","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"52","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"53","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"54","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"55","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"56","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"57","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"58","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"59","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"60","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"61","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"62","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"63","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"64","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
"65","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",10
